"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","89","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jul 06 20:11:30 GMT 2025","passed","Sun Jul 06 20:11:30 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","79","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jul 06 20:11:49 GMT 2025","passed","Sun Jul 06 20:11:49 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","88","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jul 06 20:11:31 GMT 2025","passed","Sun Jul 06 20:11:31 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","81","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jul 06 20:11:47 GMT 2025","passed","Sun Jul 06 20:11:47 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","85","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jul 06 20:11:35 GMT 2025","passed","Sun Jul 06 20:11:35 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","152","Create_issue_without_attachment","QA|Nova Bank - Infopool","Sun Jul 06 20:11:44 GMT 2025","passed","Sun Jul 06 20:11:44 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","96","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun Jul 06 20:11:47 GMT 2025","passed","Sun Jul 06 20:11:48 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","83","Add user to an organization - no auth","QA|Nova Bank - Infopool","Sun Jul 06 20:12:05 GMT 2025","passed","Sun Jul 06 20:12:05 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","437","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sun Jul 06 20:11:40 GMT 2025","passed","Sun Jul 06 20:11:40 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","129","Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jul 06 20:11:30 GMT 2025","passed","Sun Jul 06 20:11:30 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","2885","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jul 06 20:11:49 GMT 2025","passed","Sun Jul 06 20:11:52 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","96","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun Jul 06 20:11:47 GMT 2025","passed","Sun Jul 06 20:11:47 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","82","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Sun Jul 06 20:11:45 GMT 2025","passed","Sun Jul 06 20:11:45 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","95","Create organization - empty street value","QA|Nova Bank - Infopool","Sun Jul 06 20:12:03 GMT 2025","failed","Sun Jul 06 20:12:03 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","130","verify OTP","QA|Nova Bank - Infopool","Sun Jul 06 20:11:31 GMT 2025","passed","Sun Jul 06 20:11:31 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","96","Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jul 06 20:12:04 GMT 2025","passed","Sun Jul 06 20:12:05 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","82","No auth - managers","QA|Nova Bank - Infopool","Sun Jul 06 20:12:05 GMT 2025","passed","Sun Jul 06 20:12:05 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","119","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jul 06 20:11:46 GMT 2025","failed","Sun Jul 06 20:11:46 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","95","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun Jul 06 20:11:59 GMT 2025","passed","Sun Jul 06 20:11:59 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","92","Update user - invalid action","QA|Nova Bank - Infopool","Sun Jul 06 20:12:01 GMT 2025","passed","Sun Jul 06 20:12:01 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","157","Get events - invalid start date","QA|Nova Bank - Infopool","Sun Jul 06 20:11:34 GMT 2025","passed","Sun Jul 06 20:11:34 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","82","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Jul 06 20:11:35 GMT 2025","passed","Sun Jul 06 20:11:35 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","3182","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jul 06 20:11:55 GMT 2025","failed","Sun Jul 06 20:11:58 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","83","Create organization - empty mis code","QA|Nova Bank - Infopool","Sun Jul 06 20:12:03 GMT 2025","failed","Sun Jul 06 20:12:03 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","81","No auth - Create  organization","QA|Nova Bank - Infopool","Sun Jul 06 20:12:02 GMT 2025","passed","Sun Jul 06 20:12:02 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","81","No_auth_add_comments","QA|Nova Bank - Infopool","Sun Jul 06 20:11:46 GMT 2025","passed","Sun Jul 06 20:11:46 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","149","Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jul 06 20:11:46 GMT 2025","passed","Sun Jul 06 20:11:46 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","96","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Jul 06 20:11:33 GMT 2025","passed","Sun Jul 06 20:11:33 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","268","Change password - successful","QA|Nova Bank - Infopool","Sun Jul 06 20:11:31 GMT 2025","passed","Sun Jul 06 20:11:31 GMT 2025","v1 > Profile > Password","Bank User","",""
"","84","audit trail - No Auth","QA|Nova Bank - Infopool","Sun Jul 06 20:11:35 GMT 2025","passed","Sun Jul 06 20:11:35 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","172","Get roles - successful","QA|Nova Bank - Infopool","Sun Jul 06 20:12:05 GMT 2025","passed","Sun Jul 06 20:12:06 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","88","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Jul 06 20:11:29 GMT 2025","passed","Sun Jul 06 20:11:29 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","93","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Sun Jul 06 20:12:04 GMT 2025","passed","Sun Jul 06 20:12:04 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","86","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sun Jul 06 20:11:31 GMT 2025","passed","Sun Jul 06 20:11:31 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","80","No auth - update role","QA|Nova Bank - Infopool","Sun Jul 06 20:12:01 GMT 2025","passed","Sun Jul 06 20:12:01 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","82","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Jul 06 20:11:59 GMT 2025","failed","Sun Jul 06 20:11:59 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","85","Update profile - No Auth","QA|Nova Bank - Infopool","Sun Jul 06 20:11:33 GMT 2025","passed","Sun Jul 06 20:11:34 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","4086","Create a New Issue","QA|Nova Bank - Infopool","Sun Jul 06 20:11:36 GMT 2025","passed","Sun Jul 06 20:11:40 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","146","Forgot password - successful","QA|Nova Bank - Infopool","Sun Jul 06 20:11:29 GMT 2025","failed","Sun Jul 06 20:11:29 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","116","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Sun Jul 06 20:11:47 GMT 2025","failed","Sun Jul 06 20:11:47 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","120","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Sun Jul 06 20:11:48 GMT 2025","failed","Sun Jul 06 20:11:48 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","122","Create  organization","QA|Nova Bank - Infopool","Sun Jul 06 20:12:01 GMT 2025","failed","Sun Jul 06 20:12:02 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","83","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jul 06 20:12:04 GMT 2025","passed","Sun Jul 06 20:12:04 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","125","Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jul 06 20:11:47 GMT 2025","passed","Sun Jul 06 20:11:47 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","99","Update profile","QA|Nova Bank - Infopool","Sun Jul 06 20:11:33 GMT 2025","failed","Sun Jul 06 20:11:33 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","94","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Sun Jul 06 20:12:05 GMT 2025","passed","Sun Jul 06 20:12:05 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","86","No Auth - Change password","QA|Nova Bank - Infopool","Sun Jul 06 20:11:31 GMT 2025","passed","Sun Jul 06 20:11:31 GMT 2025","v1 > Profile > Password","Bank User","",""
"","102","Fetch all users","QA|Nova Bank - Infopool","Sun Jul 06 20:12:00 GMT 2025","passed","Sun Jul 06 20:12:00 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","92","Update user - empty action field","QA|Nova Bank - Infopool","Sun Jul 06 20:12:01 GMT 2025","passed","Sun Jul 06 20:12:01 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","97","Fetch user by ID - successful","QA|Nova Bank - Infopool","Sun Jul 06 20:12:00 GMT 2025","passed","Sun Jul 06 20:12:00 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","82","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Jul 06 20:11:47 GMT 2025","passed","Sun Jul 06 20:11:47 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","99","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Jul 06 20:12:00 GMT 2025","passed","Sun Jul 06 20:12:00 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","139","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jul 06 20:12:03 GMT 2025","passed","Sun Jul 06 20:12:03 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","82","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sun Jul 06 20:11:45 GMT 2025","passed","Sun Jul 06 20:11:45 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","95","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Sun Jul 06 20:12:03 GMT 2025","passed","Sun Jul 06 20:12:03 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","81","Health","QA|Nova Bank - Infopool","Sun Jul 06 20:11:59 GMT 2025","failed","Sun Jul 06 20:11:59 GMT 2025","v1 > Health","Bank Admin","",""
"","509","Get Issue by ID","QA|Nova Bank - Infopool","Sun Jul 06 20:11:44 GMT 2025","passed","Sun Jul 06 20:11:44 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","104","Search Customers","QA|Nova Bank - Infopool","Sun Jul 06 20:11:47 GMT 2025","passed","Sun Jul 06 20:11:47 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","130","resend_invitation_toUser","QA|Nova Bank - Infopool","Sun Jul 06 20:11:35 GMT 2025","passed","Sun Jul 06 20:11:35 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","95","Get single definition","QA|Nova Bank - Infopool","Sun Jul 06 20:11:59 GMT 2025","passed","Sun Jul 06 20:11:59 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","92","Empty fields - Update definition","QA|Nova Bank - Infopool","Sun Jul 06 20:12:00 GMT 2025","passed","Sun Jul 06 20:12:00 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","99","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Sun Jul 06 20:12:03 GMT 2025","passed","Sun Jul 06 20:12:03 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","84","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jul 06 20:11:30 GMT 2025","passed","Sun Jul 06 20:11:30 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","89","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Jul 06 20:11:36 GMT 2025","passed","Sun Jul 06 20:11:36 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","113","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sun Jul 06 20:12:05 GMT 2025","passed","Sun Jul 06 20:12:05 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","95","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun Jul 06 20:11:43 GMT 2025","passed","Sun Jul 06 20:11:44 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","304","audit-search","QA|Nova Bank - Infopool","Sun Jul 06 20:11:35 GMT 2025","passed","Sun Jul 06 20:11:35 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","140","Update Customer Comment","QA|Nova Bank - Infopool","Sun Jul 06 20:11:46 GMT 2025","passed","Sun Jul 06 20:11:47 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","88","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jul 06 20:11:30 GMT 2025","passed","Sun Jul 06 20:11:30 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","95","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Sun Jul 06 20:12:04 GMT 2025","passed","Sun Jul 06 20:12:04 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","80","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sun Jul 06 20:12:00 GMT 2025","passed","Sun Jul 06 20:12:00 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","3249","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sun Jul 06 20:11:40 GMT 2025","failed","Sun Jul 06 20:11:43 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","98","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun Jul 06 20:12:02 GMT 2025","passed","Sun Jul 06 20:12:02 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","117","Add user to an organization - successful","QA|Nova Bank - Infopool","Sun Jul 06 20:12:05 GMT 2025","passed","Sun Jul 06 20:12:05 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","113","Update user - successful","QA|Nova Bank - Infopool","Sun Jul 06 20:12:00 GMT 2025","passed","Sun Jul 06 20:12:00 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","81","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jul 06 20:11:52 GMT 2025","passed","Sun Jul 06 20:11:52 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","93","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jul 06 20:12:04 GMT 2025","passed","Sun Jul 06 20:12:04 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","159","Get events - invalid end date","QA|Nova Bank - Infopool","Sun Jul 06 20:11:34 GMT 2025","passed","Sun Jul 06 20:11:34 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","82","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jul 06 20:11:45 GMT 2025","passed","Sun Jul 06 20:11:45 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","83","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jul 06 20:11:30 GMT 2025","passed","Sun Jul 06 20:11:30 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","82","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sun Jul 06 20:11:44 GMT 2025","passed","Sun Jul 06 20:11:44 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","105","Get all definitions","QA|Nova Bank - Infopool","Sun Jul 06 20:11:59 GMT 2025","passed","Sun Jul 06 20:11:59 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","81","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jul 06 20:12:05 GMT 2025","passed","Sun Jul 06 20:12:05 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","90","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Sun Jul 06 20:11:29 GMT 2025","passed","Sun Jul 06 20:11:30 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","80","No auth - get user role","QA|Nova Bank - Infopool","Sun Jul 06 20:12:01 GMT 2025","passed","Sun Jul 06 20:12:01 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","97","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun Jul 06 20:12:03 GMT 2025","passed","Sun Jul 06 20:12:03 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","107","get user role","QA|Nova Bank - Infopool","Sun Jul 06 20:12:01 GMT 2025","passed","Sun Jul 06 20:12:01 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
