"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44","Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:15:54 GMT 2025","failed","Sun Jun 08 21:15:54 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","165","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:15:53 GMT 2025","passed","Sun Jun 08 21:15:53 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","140","resend_invitation_toUser","QA|Nova Bank - Infopool","Sun Jun 08 21:15:52 GMT 2025","passed","Sun Jun 08 21:15:52 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","6197","Invalid email format","QA|Nova Bank - Infopool","Sun Jun 08 21:15:31 GMT 2025","passed","Sun Jun 08 21:15:37 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","35","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sun Jun 08 21:17:12 GMT 2025","passed","Sun Jun 08 21:17:12 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","35","get user role","QA|Nova Bank - Infopool","Sun Jun 08 21:17:11 GMT 2025","passed","Sun Jun 08 21:17:11 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"Delete a report (soft delete)","38","Delete Report","QA|Nova Bank - Infopool","Sun Jun 08 21:17:15 GMT 2025","failed","Sun Jun 08 21:17:15 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","35","No auth - managers","QA|Nova Bank - Infopool","Sun Jun 08 21:17:12 GMT 2025","passed","Sun Jun 08 21:17:12 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","36","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun Jun 08 21:17:12 GMT 2025","passed","Sun Jun 08 21:17:12 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","90","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Jun 08 21:15:38 GMT 2025","passed","Sun Jun 08 21:15:38 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","54","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 08 21:15:57 GMT 2025","passed","Sun Jun 08 21:15:57 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","254","add_comment_successfully","QA|Nova Bank - Infopool","Sun Jun 08 21:15:55 GMT 2025","passed","Sun Jun 08 21:15:55 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","40","Update role status","QA|Nova Bank - Infopool","Sun Jun 08 21:17:13 GMT 2025","passed","Sun Jun 08 21:17:13 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","33","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 08 21:17:13 GMT 2025","passed","Sun Jun 08 21:17:13 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","191","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Sun Jun 08 21:16:00 GMT 2025","passed","Sun Jun 08 21:16:00 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","42","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:15:56 GMT 2025","failed","Sun Jun 08 21:15:56 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","35","Update definition","QA|Nova Bank - Infopool","Sun Jun 08 21:17:10 GMT 2025","passed","Sun Jun 08 21:17:10 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","34","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:17:13 GMT 2025","passed","Sun Jun 08 21:17:13 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","53","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:15:55 GMT 2025","failed","Sun Jun 08 21:15:56 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","66265","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 08 21:16:00 GMT 2025","passed","Sun Jun 08 21:17:07 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","59","Empty current password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:15:42 GMT 2025","passed","Sun Jun 08 21:15:42 GMT 2025","v1 > Profile > Password","Bank User","",""
"","39","Create organization - empty description","QA|Nova Bank - Infopool","Sun Jun 08 21:17:11 GMT 2025","passed","Sun Jun 08 21:17:11 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","35","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 08 21:17:10 GMT 2025","passed","Sun Jun 08 21:17:10 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","41","Create  organization","QA|Nova Bank - Infopool","Sun Jun 08 21:17:11 GMT 2025","passed","Sun Jun 08 21:17:11 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","33","Logout session successfully","QA|Nova Bank - Infopool","Sun Jun 08 21:17:13 GMT 2025","passed","Sun Jun 08 21:17:13 GMT 2025","v1 > Logout","Bank Admin","",""
"","35","Update user - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:17:11 GMT 2025","passed","Sun Jun 08 21:17:11 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","144","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:15:54 GMT 2025","passed","Sun Jun 08 21:15:54 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","35","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:17:12 GMT 2025","passed","Sun Jun 08 21:17:12 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","35","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Sun Jun 08 21:17:12 GMT 2025","passed","Sun Jun 08 21:17:12 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","35","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 08 21:17:10 GMT 2025","passed","Sun Jun 08 21:17:10 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","33","No auth - get all category","QA|Nova Bank - Infopool","Sun Jun 08 21:17:13 GMT 2025","passed","Sun Jun 08 21:17:13 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","252","Get events - invalid start date","QA|Nova Bank - Infopool","Sun Jun 08 21:15:44 GMT 2025","passed","Sun Jun 08 21:15:44 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","237","audit trail","QA|Nova Bank - Infopool","Sun Jun 08 21:15:45 GMT 2025","passed","Sun Jun 08 21:15:45 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","34","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 21:17:10 GMT 2025","passed","Sun Jun 08 21:17:10 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","60","search Corporate Adjustment","QA|Nova Bank - Infopool","Sun Jun 08 21:17:26 GMT 2025","passed","Sun Jun 08 21:17:26 GMT 2025","","corporate Adjustment","",""
"","34","Get all permissions","QA|Nova Bank - Infopool","Sun Jun 08 21:17:13 GMT 2025","passed","Sun Jun 08 21:17:13 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
