"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri May 30 16:59:58 GMT 2025","passed","Fri May 30 16:59:58 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","34","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Fri May 30 17:00:07 GMT 2025","passed","Fri May 30 17:00:07 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","38","Update Customer Comment","QA|Nova Bank - Infopool","Fri May 30 16:59:55 GMT 2025","failed","Fri May 30 16:59:55 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","39","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Fri May 30 16:59:53 GMT 2025","passed","Fri May 30 16:59:53 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","43","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Fri May 30 17:00:06 GMT 2025","passed","Fri May 30 17:00:07 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","146","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Fri May 30 16:59:53 GMT 2025","failed","Fri May 30 16:59:54 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","124","Get profile roles - successful","QA|Nova Bank - Infopool","Fri May 30 16:59:45 GMT 2025","passed","Fri May 30 16:59:45 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","39","Get profile roles - No Auth","QA|Nova Bank - Infopool","Fri May 30 16:59:45 GMT 2025","passed","Fri May 30 16:59:45 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","86","Forgot password - successful","QA|Nova Bank - Infopool","Fri May 30 16:59:44 GMT 2025","failed","Fri May 30 16:59:44 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","39","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Fri May 30 16:59:53 GMT 2025","passed","Fri May 30 16:59:53 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get a paginated list of reports with optional filtering","38","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Fri May 30 17:00:08 GMT 2025","failed","Fri May 30 17:00:08 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","39","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Fri May 30 16:59:58 GMT 2025","failed","Fri May 30 16:59:58 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Delete a report (soft delete)","39","Delete Report - Invalid id","QA|Nova Bank - Infopool","Fri May 30 17:00:09 GMT 2025","failed","Fri May 30 17:00:09 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","36","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri May 30 16:59:54 GMT 2025","passed","Fri May 30 16:59:54 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","100","Get profile - user not logged in","QA|Nova Bank - Infopool","Fri May 30 16:59:46 GMT 2025","passed","Fri May 30 16:59:46 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","38","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Fri May 30 16:59:54 GMT 2025","failed","Fri May 30 16:59:54 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","37","Logout session - no session","QA|Nova Bank - Infopool","Fri May 30 17:00:08 GMT 2025","passed","Fri May 30 17:00:08 GMT 2025","v1 > Logout","Bank Admin","",""
"","36","audit trail - No Auth","QA|Nova Bank - Infopool","Fri May 30 16:59:52 GMT 2025","passed","Fri May 30 16:59:53 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","58","resend_invitation_toUser","QA|Nova Bank - Infopool","Fri May 30 16:59:53 GMT 2025","passed","Fri May 30 16:59:53 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","39","Create  organization - without parent id","QA|Nova Bank - Infopool","Fri May 30 16:59:59 GMT 2025","failed","Fri May 30 16:59:59 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","41","Update user - invalid action","QA|Nova Bank - Infopool","Fri May 30 16:59:59 GMT 2025","failed","Fri May 30 16:59:59 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","35","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Fri May 30 16:59:59 GMT 2025","passed","Fri May 30 16:59:59 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Get a specific report by ID","37","Get Report by ID","QA|Nova Bank - Infopool","Fri May 30 17:00:09 GMT 2025","failed","Fri May 30 17:00:09 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","48","Create organization - name already exists","QA|Nova Bank - Infopool","Fri May 30 16:59:59 GMT 2025","passed","Fri May 30 16:59:59 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","37","No Auth - Change password","QA|Nova Bank - Infopool","Fri May 30 16:59:45 GMT 2025","passed","Fri May 30 16:59:45 GMT 2025","v1 > Profile > Password","Bank User","",""
"","39","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Fri May 30 16:59:55 GMT 2025","failed","Fri May 30 16:59:55 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","37","Create roles - Existing role","QA|Nova Bank - Infopool","Fri May 30 17:00:07 GMT 2025","failed","Fri May 30 17:00:07 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","64","verify OTP","QA|Nova Bank - Infopool","Fri May 30 16:59:45 GMT 2025","passed","Fri May 30 16:59:45 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","74","Get all Issues","QA|Nova Bank - Infopool","Fri May 30 16:59:54 GMT 2025","failed","Fri May 30 16:59:54 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","54","Remove user from an organization - successful","QA|Nova Bank - Infopool","Fri May 30 17:00:07 GMT 2025","passed","Fri May 30 17:00:07 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","37","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri May 30 16:59:58 GMT 2025","passed","Fri May 30 16:59:58 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","38","Export Report Data","QA|Nova Bank - Infopool","Fri May 30 17:00:09 GMT 2025","failed","Fri May 30 17:00:09 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","46","Update role status","QA|Nova Bank - Infopool","Fri May 30 17:00:08 GMT 2025","passed","Fri May 30 17:00:08 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","38","Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri May 30 16:59:58 GMT 2025","failed","Fri May 30 16:59:58 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","62","Search Customers","QA|Nova Bank - Infopool","Fri May 30 16:59:55 GMT 2025","passed","Fri May 30 16:59:55 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","44","get user role","QA|Nova Bank - Infopool","Fri May 30 16:59:59 GMT 2025","passed","Fri May 30 16:59:59 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","2348","Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri May 30 16:59:55 GMT 2025","passed","Fri May 30 16:59:58 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","35","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Fri May 30 16:59:58 GMT 2025","passed","Fri May 30 16:59:58 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","37","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Fri May 30 16:59:59 GMT 2025","passed","Fri May 30 16:59:59 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","36","Delete Customer Comment","QA|Nova Bank - Infopool","Fri May 30 16:59:55 GMT 2025","failed","Fri May 30 16:59:55 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","47","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Fri May 30 17:00:06 GMT 2025","passed","Fri May 30 17:00:06 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Create a new report","39","Create Report","QA|Nova Bank - Infopool","Fri May 30 17:00:09 GMT 2025","failed","Fri May 30 17:00:09 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","36","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Fri May 30 16:59:54 GMT 2025","failed","Fri May 30 16:59:54 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","85","verifyOTP","QA|Nova Bank - Infopool","Fri May 30 16:59:44 GMT 2025","passed","Fri May 30 16:59:44 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","125","Weak password - Change password","QA|Nova Bank - Infopool","Fri May 30 16:59:45 GMT 2025","passed","Fri May 30 16:59:45 GMT 2025","v1 > Profile > Password","Bank User","",""
"","44","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Fri May 30 17:00:07 GMT 2025","passed","Fri May 30 17:00:07 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","40","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Fri May 30 16:59:53 GMT 2025","passed","Fri May 30 16:59:53 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"Get a paginated list of reports with optional filtering","39","Get Reports","QA|Nova Bank - Infopool","Fri May 30 17:00:08 GMT 2025","failed","Fri May 30 17:00:08 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","38","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Fri May 30 17:00:09 GMT 2025","failed","Fri May 30 17:00:09 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","48","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Fri May 30 17:00:07 GMT 2025","passed","Fri May 30 17:00:07 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","37","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Fri May 30 16:59:52 GMT 2025","failed","Fri May 30 16:59:52 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","101","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Fri May 30 16:59:58 GMT 2025","passed","Fri May 30 16:59:58 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","36","No auth - category by id","QA|Nova Bank - Infopool","Fri May 30 17:00:08 GMT 2025","passed","Fri May 30 17:00:08 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
