"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","135","No Auth - Get all definitions","QA|Nova Bank - Infopool","Sun Feb 22 20:14:46 UTC 2026","broken","Sun Feb 22 20:14:46 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","140","Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Feb 22 20:14:46 UTC 2026","broken","Sun Feb 22 20:14:46 UTC 2026","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","142","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Feb 22 20:14:41 UTC 2026","broken","Sun Feb 22 20:14:42 UTC 2026","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","136","Logout session successfully","QA|Nova Bank - Infopool","Sun Feb 22 20:14:58 UTC 2026","broken","Sun Feb 22 20:14:58 UTC 2026","v1 > Logout","Bank Admin","",""
"","145","No auth - managers","QA|Nova Bank - Infopool","Sun Feb 22 20:14:55 UTC 2026","broken","Sun Feb 22 20:14:55 UTC 2026","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","135","No auth - Create  organization","QA|Nova Bank - Infopool","Sun Feb 22 20:14:50 UTC 2026","broken","Sun Feb 22 20:14:50 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","136","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Sun Feb 22 20:14:51 UTC 2026","broken","Sun Feb 22 20:14:51 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","142","Invalid current password - Change password","QA|Nova Bank - Infopool","Sun Feb 22 20:14:34 UTC 2026","broken","Sun Feb 22 20:14:35 UTC 2026","v1 > Profile > Password","Bank User","",""
"Get a paginated list of reports with optional filtering","136","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Sun Feb 22 20:14:59 UTC 2026","broken","Sun Feb 22 20:15:00 UTC 2026","v1 > Report > Get Report Object","Bank Admin","",""
"","139","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Feb 22 20:14:44 UTC 2026","broken","Sun Feb 22 20:14:44 UTC 2026","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","139","Get profile - successfully","QA|Nova Bank - Infopool","Sun Feb 22 20:14:35 UTC 2026","broken","Sun Feb 22 20:14:35 UTC 2026","v1 > Profile > Get profile","Bank User","",""
"","141","No Auth - Get all permissions","QA|Nova Bank - Infopool","Sun Feb 22 20:14:57 UTC 2026","broken","Sun Feb 22 20:14:58 UTC 2026","v1 > Permissions > Get permissions","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","148","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Feb 22 20:14:33 UTC 2026","broken","Sun Feb 22 20:14:33 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"Get a specific report by ID","135","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Sun Feb 22 20:15:00 UTC 2026","broken","Sun Feb 22 20:15:00 UTC 2026","v1 > Report > Get Report by Id","Bank Admin","",""
"","136","No_auth_add_comments","QA|Nova Bank - Infopool","Sun Feb 22 20:14:42 UTC 2026","broken","Sun Feb 22 20:14:42 UTC 2026","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","141","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Sun Feb 22 20:14:44 UTC 2026","broken","Sun Feb 22 20:14:44 UTC 2026","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","136","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Sun Feb 22 20:14:51 UTC 2026","broken","Sun Feb 22 20:14:52 UTC 2026","v1 > Organizations > Fetch organization","Bank Admin","",""
"","136","add_comment_successfully","QA|Nova Bank - Infopool","Sun Feb 22 20:14:42 UTC 2026","broken","Sun Feb 22 20:14:42 UTC 2026","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","137","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sun Feb 22 20:14:52 UTC 2026","broken","Sun Feb 22 20:14:52 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","141","Get single definition","QA|Nova Bank - Infopool","Sun Feb 22 20:14:46 UTC 2026","broken","Sun Feb 22 20:14:47 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Get a specific report by ID","144","Get Report by UUID","QA|Nova Bank - Infopool","Sun Feb 22 20:15:00 UTC 2026","broken","Sun Feb 22 20:15:00 UTC 2026","v1 > Report > Get Report by UUID","Bank Admin","",""
"","159","Invalid credentials","QA|Nova Bank - Infopool","Sun Feb 22 20:14:31 UTC 2026","broken","Sun Feb 22 20:14:31 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"","143","Create_issue_without_attachment","QA|Nova Bank - Infopool","Sun Feb 22 20:14:39 UTC 2026","broken","Sun Feb 22 20:14:39 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","136","Add user to an organization - no auth","QA|Nova Bank - Infopool","Sun Feb 22 20:14:54 UTC 2026","broken","Sun Feb 22 20:14:54 UTC 2026","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","138","Get events - successful","QA|Nova Bank - Infopool","Sun Feb 22 20:14:36 UTC 2026","broken","Sun Feb 22 20:14:37 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","137","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Feb 22 20:14:46 UTC 2026","broken","Sun Feb 22 20:14:46 UTC 2026","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","143","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Sun Feb 22 20:14:38 UTC 2026","broken","Sun Feb 22 20:14:38 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","137","Get events - invalid end date","QA|Nova Bank - Infopool","Sun Feb 22 20:14:37 UTC 2026","broken","Sun Feb 22 20:14:37 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","157","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sun Feb 22 20:14:39 UTC 2026","broken","Sun Feb 22 20:14:39 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","141","Create roles - No auth","QA|Nova Bank - Infopool","Sun Feb 22 20:14:56 UTC 2026","broken","Sun Feb 22 20:14:56 UTC 2026","v1 > Roles > Create role","Bank Admin","",""
"","138","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sun Feb 22 20:14:41 UTC 2026","broken","Sun Feb 22 20:14:41 UTC 2026","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","153","Forgot password - successful","QA|Nova Bank - Infopool","Sun Feb 22 20:14:32 UTC 2026","broken","Sun Feb 22 20:14:32 UTC 2026","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","137","Get Report Data - Question","QA|Nova Bank - Infopool","Sun Feb 22 20:15:02 UTC 2026","broken","Sun Feb 22 20:15:02 UTC 2026","v1 > Report > Get Report Data","Bank Admin","",""
"","138","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Sun Feb 22 20:15:02 UTC 2026","broken","Sun Feb 22 20:15:02 UTC 2026","v1 > Report > Get Report Data","Bank Admin","",""
"","136","Update Customer Comment","QA|Nova Bank - Infopool","Sun Feb 22 20:14:42 UTC 2026","broken","Sun Feb 22 20:14:42 UTC 2026","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","136","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun Feb 22 20:14:53 UTC 2026","broken","Sun Feb 22 20:14:54 UTC 2026","v1 > Organizations > Delete organization","Bank Admin","",""
"","140","Fetch user by ID - successful","QA|Nova Bank - Infopool","Sun Feb 22 20:14:47 UTC 2026","broken","Sun Feb 22 20:14:47 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"","144","Health","QA|Nova Bank - Infopool","Sun Feb 22 20:14:46 UTC 2026","broken","Sun Feb 22 20:14:46 UTC 2026","v1 > Health","Bank Admin","",""
"","137","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sun Feb 22 20:14:47 UTC 2026","broken","Sun Feb 22 20:14:47 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"","138","Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Feb 22 20:14:42 UTC 2026","broken","Sun Feb 22 20:14:42 UTC 2026","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","137","Weak password - Change password","QA|Nova Bank - Infopool","Sun Feb 22 20:14:35 UTC 2026","broken","Sun Feb 22 20:14:35 UTC 2026","v1 > Profile > Password","Bank User","",""
"","141","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sun Feb 22 20:14:40 UTC 2026","broken","Sun Feb 22 20:14:40 UTC 2026","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","142","No Auth - Update Issue","QA|Nova Bank - Infopool","Sun Feb 22 20:14:40 UTC 2026","broken","Sun Feb 22 20:14:40 UTC 2026","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","137","Update user - no auth","QA|Nova Bank - Infopool","Sun Feb 22 20:14:48 UTC 2026","broken","Sun Feb 22 20:14:48 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","138","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Feb 22 20:14:43 UTC 2026","broken","Sun Feb 22 20:14:43 UTC 2026","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","142","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Feb 22 20:14:45 UTC 2026","broken","Sun Feb 22 20:14:45 UTC 2026","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"Get a specific report by ID","137","Get Report by ID","QA|Nova Bank - Infopool","Sun Feb 22 20:15:00 UTC 2026","broken","Sun Feb 22 20:15:00 UTC 2026","v1 > Report > Get Report by Id","Bank Admin","",""
"","152","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Feb 22 20:14:32 UTC 2026","broken","Sun Feb 22 20:14:32 UTC 2026","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","142","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Sun Feb 22 20:14:52 UTC 2026","broken","Sun Feb 22 20:14:52 UTC 2026","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","139","Get all permissions","QA|Nova Bank - Infopool","Sun Feb 22 20:14:57 UTC 2026","broken","Sun Feb 22 20:14:57 UTC 2026","v1 > Permissions > Get permissions","Bank Admin","",""
"","141","Create organization - empty description","QA|Nova Bank - Infopool","Sun Feb 22 20:14:50 UTC 2026","broken","Sun Feb 22 20:14:50 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","133","No auth - get user role","QA|Nova Bank - Infopool","Sun Feb 22 20:14:49 UTC 2026","broken","Sun Feb 22 20:14:49 UTC 2026","v1 > Users > Role > Get role","Bank Admin","",""
"","140","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sun Feb 22 20:14:48 UTC 2026","broken","Sun Feb 22 20:14:48 UTC 2026","v1 > Users > Fetch users","Bank Admin","",""
"","144","Get role by ID - no auth","QA|Nova Bank - Infopool","Sun Feb 22 20:14:57 UTC 2026","broken","Sun Feb 22 20:14:57 UTC 2026","v1 > Roles > Get role by ID","Bank Admin","",""
"","138","No Auth - Update definition","QA|Nova Bank - Infopool","Sun Feb 22 20:14:47 UTC 2026","broken","Sun Feb 22 20:14:47 UTC 2026","v1 > Static Definitions > Update definition","Bank Admin","",""
"","143","Update user - ID does not exist","QA|Nova Bank - Infopool","Sun Feb 22 20:14:48 UTC 2026","broken","Sun Feb 22 20:14:48 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","136","Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Feb 22 20:14:41 UTC 2026","broken","Sun Feb 22 20:14:41 UTC 2026","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","138","Get roles - No Auth","QA|Nova Bank - Infopool","Sun Feb 22 20:14:55 UTC 2026","broken","Sun Feb 22 20:14:56 UTC 2026","v1 > Roles > Get roles","Bank Admin","",""
"","138","Update user - empty action field","QA|Nova Bank - Infopool","Sun Feb 22 20:14:49 UTC 2026","broken","Sun Feb 22 20:14:49 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","139","resend_invitation_toUser","QA|Nova Bank - Infopool","Sun Feb 22 20:14:38 UTC 2026","broken","Sun Feb 22 20:14:38 UTC 2026","v1 > Onboarding > Validate invitation","Bank User","",""
"","139","Add attachment to issue","QA|Nova Bank - Infopool","Sun Feb 22 20:14:41 UTC 2026","broken","Sun Feb 22 20:14:41 UTC 2026","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","142","Create organization - empty mis code","QA|Nova Bank - Infopool","Sun Feb 22 20:14:51 UTC 2026","broken","Sun Feb 22 20:14:51 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","140","Logout session - no session","QA|Nova Bank - Infopool","Sun Feb 22 20:14:58 UTC 2026","broken","Sun Feb 22 20:14:58 UTC 2026","v1 > Logout","Bank Admin","",""
"","138","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Feb 22 20:14:45 UTC 2026","broken","Sun Feb 22 20:14:46 UTC 2026","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","137","Get profile - user not logged in","QA|Nova Bank - Infopool","Sun Feb 22 20:14:35 UTC 2026","broken","Sun Feb 22 20:14:35 UTC 2026","v1 > Profile > Get profile","Bank User","",""
"","135","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Sun Feb 22 20:14:41 UTC 2026","broken","Sun Feb 22 20:14:41 UTC 2026","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","137","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Feb 22 20:14:35 UTC 2026","broken","Sun Feb 22 20:14:35 UTC 2026","v1 > Profile > Get profile","Bank User","",""
"","138","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Sun Feb 22 20:14:55 UTC 2026","broken","Sun Feb 22 20:14:55 UTC 2026","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","140","Delete Customer Comment","QA|Nova Bank - Infopool","Sun Feb 22 20:14:43 UTC 2026","broken","Sun Feb 22 20:14:43 UTC 2026","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","136","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun Feb 22 20:14:44 UTC 2026","broken","Sun Feb 22 20:14:44 UTC 2026","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","141","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Feb 22 20:14:52 UTC 2026","broken","Sun Feb 22 20:14:52 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","135","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun Feb 22 20:14:38 UTC 2026","broken","Sun Feb 22 20:14:38 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"Create a new report","137","Create Report - No auth","QA|Nova Bank - Infopool","Sun Feb 22 20:15:01 UTC 2026","broken","Sun Feb 22 20:15:01 UTC 2026","v1 > Report > Create Report","Bank Admin","",""
"","143","Add user to an organization - successful","QA|Nova Bank - Infopool","Sun Feb 22 20:14:54 UTC 2026","broken","Sun Feb 22 20:14:54 UTC 2026","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","139","Create roles - empty name field","QA|Nova Bank - Infopool","Sun Feb 22 20:14:56 UTC 2026","broken","Sun Feb 22 20:14:56 UTC 2026","v1 > Roles > Create role","Bank Admin","",""
"","143","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Sun Feb 22 20:14:32 UTC 2026","broken","Sun Feb 22 20:14:32 UTC 2026","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","140","search Corporate Adjustment","QA|Nova Bank - Infopool","Sun Feb 22 20:15:03 UTC 2026","broken","Sun Feb 22 20:15:03 UTC 2026","","corporate Adjustment","",""
"","134","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sun Feb 22 20:14:53 UTC 2026","broken","Sun Feb 22 20:14:53 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","140","Fetch all organizations","QA|Nova Bank - Infopool","Sun Feb 22 20:14:51 UTC 2026","broken","Sun Feb 22 20:14:51 UTC 2026","v1 > Organizations > Fetch organization","Bank Admin","",""
"","135","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Feb 22 20:14:54 UTC 2026","broken","Sun Feb 22 20:14:54 UTC 2026","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","138","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Feb 22 20:14:54 UTC 2026","broken","Sun Feb 22 20:14:54 UTC 2026","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","135","Update profile - successful","QA|Nova Bank - Infopool","Sun Feb 22 20:14:35 UTC 2026","broken","Sun Feb 22 20:14:35 UTC 2026","v1 > Profile > Update profile","Bank User","",""
"","146","Search Customers","QA|Nova Bank - Infopool","Sun Feb 22 20:14:43 UTC 2026","broken","Sun Feb 22 20:14:44 UTC 2026","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","135","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun Feb 22 20:14:52 UTC 2026","broken","Sun Feb 22 20:14:52 UTC 2026","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"Create a new report","143","Create Report","QA|Nova Bank - Infopool","Sun Feb 22 20:15:00 UTC 2026","broken","Sun Feb 22 20:15:01 UTC 2026","v1 > Report > Create Report","Bank Admin","",""
"","142","Get roles - successful","QA|Nova Bank - Infopool","Sun Feb 22 20:14:55 UTC 2026","broken","Sun Feb 22 20:14:55 UTC 2026","v1 > Roles > Get roles","Bank Admin","",""
"","141","Get Report Data - No auth","QA|Nova Bank - Infopool","Sun Feb 22 20:15:02 UTC 2026","broken","Sun Feb 22 20:15:02 UTC 2026","v1 > Report > Get Report Data","Bank Admin","",""
"","142","Get all Issues","QA|Nova Bank - Infopool","Sun Feb 22 20:14:39 UTC 2026","broken","Sun Feb 22 20:14:40 UTC 2026","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","136","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Feb 22 20:14:43 UTC 2026","broken","Sun Feb 22 20:14:43 UTC 2026","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","142","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Sun Feb 22 20:14:50 UTC 2026","broken","Sun Feb 22 20:14:51 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","134","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Sun Feb 22 20:14:44 UTC 2026","broken","Sun Feb 22 20:14:44 UTC 2026","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","143","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Sun Feb 22 20:14:55 UTC 2026","broken","Sun Feb 22 20:14:55 UTC 2026","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","135","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Sun Feb 22 20:14:42 UTC 2026","broken","Sun Feb 22 20:14:43 UTC 2026","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"Get a paginated list of reports with optional filtering","139","Get Reports Stats","QA|Nova Bank - Infopool","Sun Feb 22 20:14:59 UTC 2026","broken","Sun Feb 22 20:14:59 UTC 2026","v1 > Report > Get Report Stats","Bank Admin","",""
"","139","Get events - no auth","QA|Nova Bank - Infopool","Sun Feb 22 20:14:37 UTC 2026","broken","Sun Feb 22 20:14:37 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","136","Update user - successful","QA|Nova Bank - Infopool","Sun Feb 22 20:14:48 UTC 2026","broken","Sun Feb 22 20:14:48 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"Get a paginated list of reports with optional filtering","139","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Sun Feb 22 20:14:59 UTC 2026","broken","Sun Feb 22 20:14:59 UTC 2026","v1 > Report > Get Report Object","Bank Admin","",""
"","141","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Feb 22 20:14:44 UTC 2026","broken","Sun Feb 22 20:14:44 UTC 2026","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","143","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Sun Feb 22 20:14:53 UTC 2026","broken","Sun Feb 22 20:14:53 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","144","Get profile roles - successful","QA|Nova Bank - Infopool","Sun Feb 22 20:14:34 UTC 2026","broken","Sun Feb 22 20:14:34 UTC 2026","v1 > Profile > Roles","Bank User","",""
"","140","No auth - category by id","QA|Nova Bank - Infopool","Sun Feb 22 20:14:58 UTC 2026","broken","Sun Feb 22 20:14:58 UTC 2026","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","138","Update definition","QA|Nova Bank - Infopool","Sun Feb 22 20:14:47 UTC 2026","broken","Sun Feb 22 20:14:47 UTC 2026","v1 > Static Definitions > Update definition","Bank Admin","",""
"","146","Export Report Data - No auth","QA|Nova Bank - Infopool","Sun Feb 22 20:15:02 UTC 2026","broken","Sun Feb 22 20:15:03 UTC 2026","v1 > Report > Export Report Data","Bank Admin","",""
"","149","Get all definitions","QA|Nova Bank - Infopool","Sun Feb 22 20:14:46 UTC 2026","broken","Sun Feb 22 20:14:46 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","138","Update user - invalid action","QA|Nova Bank - Infopool","Sun Feb 22 20:14:48 UTC 2026","broken","Sun Feb 22 20:14:49 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","145","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Sun Feb 22 20:14:45 UTC 2026","broken","Sun Feb 22 20:14:45 UTC 2026","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","177","Invalid email format","QA|Nova Bank - Infopool","Sun Feb 22 20:14:31 UTC 2026","broken","Sun Feb 22 20:14:31 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"","144","verify OTP","QA|Nova Bank - Infopool","Sun Feb 22 20:14:33 UTC 2026","broken","Sun Feb 22 20:14:34 UTC 2026","v1 > Auth > MFA > Verify","Bank User","",""
"","137","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Sun Feb 22 20:15:02 UTC 2026","broken","Sun Feb 22 20:15:02 UTC 2026","v1 > Report > Get Report Data","Bank Admin","",""
"","138","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Feb 22 20:14:42 UTC 2026","broken","Sun Feb 22 20:14:42 UTC 2026","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"Delete a report (soft delete)","140","Delete Report","QA|Nova Bank - Infopool","Sun Feb 22 20:15:01 UTC 2026","broken","Sun Feb 22 20:15:02 UTC 2026","v1 > Report > Delete Report","Bank Admin","",""
