"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","151","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Feb 22 20:14:33 UTC 2026","broken","Sun Feb 22 20:14:33 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","166","Create a New Issue","QA|Nova Bank - Infopool","Sun Feb 22 20:14:39 UTC 2026","broken","Sun Feb 22 20:14:39 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","145","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sun Feb 22 20:14:34 UTC 2026","broken","Sun Feb 22 20:14:34 UTC 2026","v1 > Profile > Roles","Bank User","",""
"","134","Fetch Customer By ID","QA|Nova Bank - Infopool","Sun Feb 22 20:14:44 UTC 2026","broken","Sun Feb 22 20:14:44 UTC 2026","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","139","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Sun Feb 22 20:14:40 UTC 2026","broken","Sun Feb 22 20:14:40 UTC 2026","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"Get a paginated list of reports with optional filtering","140","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Sun Feb 22 20:14:59 UTC 2026","broken","Sun Feb 22 20:14:59 UTC 2026","v1 > Report > Get Report Stats","Bank Admin","",""
"","141","Create  organization","QA|Nova Bank - Infopool","Sun Feb 22 20:14:49 UTC 2026","broken","Sun Feb 22 20:14:50 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","140","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun Feb 22 20:14:47 UTC 2026","broken","Sun Feb 22 20:14:47 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","138","Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Feb 22 20:14:54 UTC 2026","broken","Sun Feb 22 20:14:54 UTC 2026","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","141","update role","QA|Nova Bank - Infopool","Sun Feb 22 20:14:49 UTC 2026","broken","Sun Feb 22 20:14:49 UTC 2026","v1 > Users > Role > Update role","Bank Admin","",""
"","139","Fetch all users","QA|Nova Bank - Infopool","Sun Feb 22 20:14:48 UTC 2026","broken","Sun Feb 22 20:14:48 UTC 2026","v1 > Users > Fetch users","Bank Admin","",""
"","142","Empty current password - Change password","QA|Nova Bank - Infopool","Sun Feb 22 20:14:35 UTC 2026","broken","Sun Feb 22 20:14:35 UTC 2026","v1 > Profile > Password","Bank User","",""
"","515","Successful login","QA|Nova Bank - Infopool","Sun Feb 22 20:14:30 UTC 2026","broken","Sun Feb 22 20:14:31 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","146","Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Feb 22 20:14:32 UTC 2026","broken","Sun Feb 22 20:14:33 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","140","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Feb 22 20:14:40 UTC 2026","broken","Sun Feb 22 20:14:40 UTC 2026","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
