"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","50","Validate user invitation token","QA|Nova Bank - Infopool","Fri Mar 14 18:51:58 GMT 2025","passed","Fri Mar 14 18:51:58 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","32","Retrieve setting by ID - invalid ID","QA|Nova Bank - Infopool","Fri Mar 14 18:53:12 GMT 2025","passed","Fri Mar 14 18:53:12 GMT 2025","v1 > System Settings > Retrieve setting by ID","Bank Admin","",""
"","138","Add Comment to Issue","QA|Nova Bank - Infopool","Fri Mar 14 18:51:59 GMT 2025","passed","Fri Mar 14 18:51:59 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","76","Search Customers - invalid name","QA|Nova Bank - Infopool","Fri Mar 14 18:52:00 GMT 2025","passed","Fri Mar 14 18:52:00 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","40","Create  organization - without parent id","QA|Nova Bank - Infopool","Fri Mar 14 18:53:13 GMT 2025","failed","Fri Mar 14 18:53:13 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","40","Send user invitation token - empty first name","QA|Nova Bank - Infopool","Fri Mar 14 18:51:58 GMT 2025","passed","Fri Mar 14 18:51:58 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","39","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Fri Mar 14 18:53:14 GMT 2025","failed","Fri Mar 14 18:53:14 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","37","Update user - invalid action","QA|Nova Bank - Infopool","Fri Mar 14 18:53:13 GMT 2025","failed","Fri Mar 14 18:53:13 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","32","Create roles - role name already exists","QA|Nova Bank - Infopool","Fri Mar 14 18:53:15 GMT 2025","passed","Fri Mar 14 18:53:15 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","33","Get role permission - role ID does not exist","QA|Nova Bank - Infopool","Fri Mar 14 18:53:15 GMT 2025","passed","Fri Mar 14 18:53:15 GMT 2025","v1 > Roles > Permissions > Get role permissions","Bank Admin","",""
