"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","55","No Auth - Get all Issues","QA|Nova Bank - Infopool","Wed Nov 19 18:48:29 UTC 2025","broken","Wed Nov 19 18:48:29 UTC 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","55","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Wed Nov 19 18:48:29 UTC 2025","broken","Wed Nov 19 18:48:29 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","54","Get roles - successful","QA|Nova Bank - Infopool","Wed Nov 19 18:48:35 UTC 2025","broken","Wed Nov 19 18:48:35 UTC 2025","v1 > Roles > Get roles","Bank Admin","",""
"","55","Update profile - invalid phone number","QA|Nova Bank - Infopool","Wed Nov 19 18:48:27 UTC 2025","broken","Wed Nov 19 18:48:28 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","54","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Wed Nov 19 18:48:35 UTC 2025","broken","Wed Nov 19 18:48:35 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","54","Update profile - successful","QA|Nova Bank - Infopool","Wed Nov 19 18:48:27 UTC 2025","broken","Wed Nov 19 18:48:27 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","50","Delete Customer Comment","QA|Nova Bank - Infopool","Wed Nov 19 18:48:30 UTC 2025","broken","Wed Nov 19 18:48:30 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","65","Get events - no auth","QA|Nova Bank - Infopool","Wed Nov 19 18:48:28 UTC 2025","broken","Wed Nov 19 18:48:28 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","53","Get all Issues","QA|Nova Bank - Infopool","Wed Nov 19 18:48:29 UTC 2025","broken","Wed Nov 19 18:48:29 UTC 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","60","Create_issue_without_attachment","QA|Nova Bank - Infopool","Wed Nov 19 18:48:29 UTC 2025","broken","Wed Nov 19 18:48:29 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","55","Fetch Customers Accounts","QA|Nova Bank - Infopool","Wed Nov 19 18:48:31 UTC 2025","broken","Wed Nov 19 18:48:31 UTC 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","51","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Wed Nov 19 18:48:31 UTC 2025","broken","Wed Nov 19 18:48:31 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","55","Update Customer Comment","QA|Nova Bank - Infopool","Wed Nov 19 18:48:30 UTC 2025","broken","Wed Nov 19 18:48:30 UTC 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"Get a paginated list of reports with optional filtering","55","Get Report Objects - Question","QA|Nova Bank - Infopool","Wed Nov 19 18:48:37 UTC 2025","broken","Wed Nov 19 18:48:37 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
