"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
"","43","Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri May 30 20:06:14 GMT 2025","failed","Fri May 30 20:06:14 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","39","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Fri May 30 20:06:27 GMT 2025","passed","Fri May 30 20:06:27 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","87","Update profile - Invalid file size","QA|Nova Bank - Infopool","Fri May 30 20:06:11 GMT 2025","passed","Fri May 30 20:06:11 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","44","Create organization - empty street value","QA|Nova Bank - Infopool","Fri May 30 20:06:26 GMT 2025","failed","Fri May 30 20:06:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","54","get all category","QA|Nova Bank - Infopool","Fri May 30 20:06:28 GMT 2025","passed","Fri May 30 20:06:29 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","46","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Fri May 30 20:06:12 GMT 2025","passed","Fri May 30 20:06:12 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","44","Get Report Data - No auth","QA|Nova Bank - Infopool","Fri May 30 20:06:30 GMT 2025","passed","Fri May 30 20:06:30 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","58","Fetch all organizations","QA|Nova Bank - Infopool","Fri May 30 20:06:26 GMT 2025","passed","Fri May 30 20:06:26 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"Delete a report (soft delete)","41","Delete Report","QA|Nova Bank - Infopool","Fri May 30 20:06:30 GMT 2025","failed","Fri May 30 20:06:30 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","54","Invalid email format","QA|Nova Bank - Infopool","Fri May 30 20:06:09 GMT 2025","passed","Fri May 30 20:06:09 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","43","Delete Customer Comment","QA|Nova Bank - Infopool","Fri May 30 20:06:15 GMT 2025","failed","Fri May 30 20:06:15 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","43","Fetch Customers Channels","QA|Nova Bank - Infopool","Fri May 30 20:06:24 GMT 2025","failed","Fri May 30 20:06:24 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","55","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Fri May 30 20:06:26 GMT 2025","passed","Fri May 30 20:06:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Delete a report (soft delete)","42","Delete Report -No auth","QA|Nova Bank - Infopool","Fri May 30 20:06:30 GMT 2025","failed","Fri May 30 20:06:30 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","51","Empty fields - Update definition","QA|Nova Bank - Infopool","Fri May 30 20:06:25 GMT 2025","passed","Fri May 30 20:06:25 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","45","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Fri May 30 20:06:30 GMT 2025","failed","Fri May 30 20:06:30 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","43","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Fri May 30 20:06:27 GMT 2025","passed","Fri May 30 20:06:27 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Update an existing report","43","Update Report - No auth","QA|Nova Bank - Infopool","Fri May 30 20:06:30 GMT 2025","passed","Fri May 30 20:06:30 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","42","No Auth - Fetch all users","QA|Nova Bank - Infopool","Fri May 30 20:06:25 GMT 2025","passed","Fri May 30 20:06:25 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","43","No Auth - Get all Issues","QA|Nova Bank - Infopool","Fri May 30 20:06:13 GMT 2025","passed","Fri May 30 20:06:13 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","45","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri May 30 20:06:18 GMT 2025","passed","Fri May 30 20:06:18 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","39","No auth - category by id","QA|Nova Bank - Infopool","Fri May 30 20:06:29 GMT 2025","passed","Fri May 30 20:06:29 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","50","Update profile - no phone number","QA|Nova Bank - Infopool","Fri May 30 20:06:11 GMT 2025","passed","Fri May 30 20:06:11 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","49","Update role status - role does not exist","QA|Nova Bank - Infopool","Fri May 30 20:06:28 GMT 2025","passed","Fri May 30 20:06:28 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
