"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Update an existing report","66","Update Report - No auth","QA|Nova Bank - Infopool","Wed Dec 03 18:53:30 UTC 2025","broken","Wed Dec 03 18:53:30 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","67","Get roles - No Auth","QA|Nova Bank - Infopool","Wed Dec 03 18:53:27 UTC 2025","broken","Wed Dec 03 18:53:27 UTC 2025","v1 > Roles > Get roles","Bank Admin","",""
"","66","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Wed Dec 03 18:53:26 UTC 2025","broken","Wed Dec 03 18:53:26 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","65","Fetch Customer By ID","QA|Nova Bank - Infopool","Wed Dec 03 18:53:22 UTC 2025","broken","Wed Dec 03 18:53:22 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","66","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Wed Dec 03 18:53:22 UTC 2025","broken","Wed Dec 03 18:53:22 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","67","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Wed Dec 03 18:53:19 UTC 2025","broken","Wed Dec 03 18:53:19 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","65","Get profile - successfully","QA|Nova Bank - Infopool","Wed Dec 03 18:53:17 UTC 2025","broken","Wed Dec 03 18:53:17 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","67","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed Dec 03 18:53:22 UTC 2025","broken","Wed Dec 03 18:53:22 UTC 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","84","Change password - successful","QA|Nova Bank - Infopool","Wed Dec 03 18:53:17 UTC 2025","broken","Wed Dec 03 18:53:17 UTC 2025","v1 > Profile > Password","Bank User","",""
"","67","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed Dec 03 18:53:20 UTC 2025","broken","Wed Dec 03 18:53:21 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"Create a new report","62","Create Report - No auth","QA|Nova Bank - Infopool","Wed Dec 03 18:53:30 UTC 2025","broken","Wed Dec 03 18:53:30 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","62","Create organization - empty mis code","QA|Nova Bank - Infopool","Wed Dec 03 18:53:25 UTC 2025","broken","Wed Dec 03 18:53:25 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","62","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Wed Dec 03 18:53:21 UTC 2025","broken","Wed Dec 03 18:53:21 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Get a specific report by ID","61","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Wed Dec 03 18:53:30 UTC 2025","broken","Wed Dec 03 18:53:30 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","68","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed Dec 03 18:53:22 UTC 2025","broken","Wed Dec 03 18:53:22 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"Get a paginated list of reports with optional filtering","66","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Wed Dec 03 18:53:29 UTC 2025","broken","Wed Dec 03 18:53:29 UTC 2025","v1 > Report > Get Report Stats","Bank Admin","",""
